,Unnamed: 0,Unnamed: 0.1,Stim number,word,color,is congruent,Stim timestamp,key pressed,key timestamp,delta T,is correct
0,0,0,1,yellow,green,0,0.5995435508044568,g,1.194435666211986,0.5948921154075292,1
1,1,1,2,red,blue,0,3.3706268617292574,b,4.964091534579169,1.5934646728499118,1
2,2,2,3,red,blue,0,7.018047718941507,b,7.12693091957323,0.1088832006317224,1
3,3,3,4,green,red,0,9.890696741596628,r,11.097522227955224,1.2068254863585963,1
4,4,4,5,red,yellow,0,13.349611975355572,y,14.87856802014434,1.5289560447887691,1
5,5,5,6,red,blue,0,16.36051927658133,b,19.521396143151897,3.160876866570568,1
6,6,6,7,yellow,green,0,21.345862658231,g,22.17041604756552,0.8245533893345183,1
7,7,7,8,red,blue,0,24.67080612529271,b,25.625696909197657,0.954890783904947,1
8,8,8,9,yellow,blue,0,27.11504989161051,b,28.413305413942474,1.2982555223319636,1
9,9,9,10,red,red,1,29.84976649044383,r,30.602199716447693,0.7524332260038626,1
10,10,10,11,green,red,0,33.01194736224435,r,33.6180987376155,0.606151375371148,1
11,11,11,12,green,blue,0,36.49950904044079,b,37.187894183905954,0.6883851434651618,1
12,12,12,13,yellow,green,0,39.23084953649777,g,39.95732819039891,0.7264786539011396,1
13,13,13,14,red,red,1,42.49605557700487,r,42.65397415995414,0.1579185829492715,1
14,14,14,15,red,red,1,45.41428091632033,r,45.34439119672245,0.0698897195978816,1
15,15,15,16,blue,yellow,0,47.44607682264081,y,48.61749666264004,1.1714198399992313,1
16,16,16,17,blue,blue,1,51.00989482987359,b,51.88134266494635,0.8714478350727646,1
17,17,17,18,blue,yellow,0,54.10985425282973,y,54.69495249854717,0.5850982457174325,1
18,18,18,19,green,green,1,56.83349243080399,g,58.53811112700807,1.704618696204072,1
19,19,19,20,blue,blue,1,60.57271610233124,b,61.05663764911092,0.4839215467796762,1
20,20,20,21,yellow,blue,0,63.00733437241569,b,64.78719012965925,1.7798557572435598,1
21,21,21,22,yellow,blue,0,66.62260109069607,b,67.3692877669374,0.7466866762413389,1
22,22,22,23,red,green,0,69.02187101671205,g,70.7262026439457,1.7043316272336426,1
23,23,23,24,green,yellow,0,72.0962642551034,y,73.38540939608295,1.2891451409795422,1
24,24,24,25,green,green,1,75.59688741464251,g,75.81650864193576,0.2196212272932456,1
25,25,25,26,green,red,0,78.33163816476171,r,79.30582981319635,0.9741916484346403,1
26,26,26,27,yellow,yellow,1,81.17360451195518,y,81.71137232781638,0.5377678158612014,1
27,27,27,28,red,yellow,0,83.77789334984418,y,87.11825114436783,3.340357794523655,1
28,28,28,29,red,yellow,0,88.43176474449727,y,89.60726438942905,1.1754996449317758,1
29,29,29,30,green,yellow,0,91.73038751917495,g,93.20986854210236,1.479481022927402,0
30,30,30,31,green,blue,0,95.41611051475614,b,97.69991529043382,2.2838047756776803,1
31,31,31,32,yellow,green,0,99.40993714217308,g,100.7836358785863,1.3736987364132034,1
32,32,32,33,blue,blue,1,102.14823080369476,b,103.51519570638912,1.366964902694363,1
33,33,33,34,red,red,1,105.87948410329196,r,106.08673052508264,0.2072464217906713,1
34,34,34,35,yellow,yellow,1,108.16092144343968,y,109.64102889454767,1.4801074511080117,1
35,35,35,36,green,yellow,0,111.64502047527743,y,113.37610291397388,1.7310824386964327,1
36,36,36,37,yellow,red,0,115.2791795053927,r,116.21372440871212,0.93454490331942,1
37,37,37,38,blue,green,0,118.02461958937558,g,120.11153500643694,2.086915417061362,1
38,38,38,39,yellow,red,0,122.28537427884756,r,122.71488813554151,0.4295138566939727,1
39,39,39,40,green,green,1,125.27875395909626,g,126.62021757727484,1.3414636181785653,1
40,40,40,41,green,blue,0,128.9891519956379,b,130.68890027295186,1.6997482773139438,1
41,41,41,42,yellow,green,0,132.32017406675527,g,133.21861248199198,0.8984384152367113,1
42,42,42,43,red,green,0,135.27541973045962,g,136.1882061465453,0.9127864160856802,1
43,43,43,44,green,blue,0,138.2666222341533,b,139.00277953778686,0.7361573036335756,1
44,44,44,45,red,red,1,141.79167857661784,r,142.0966382554245,0.3049596788066537,1
45,45,45,46,yellow,yellow,1,144.55403588583562,y,145.42758236459125,0.8735464787556282,1
46,46,46,47,blue,blue,1,147.4293603515715,b,148.30075566955085,0.8713953179793634,1
47,47,47,48,yellow,blue,0,150.70203984812704,b,151.67163015568116,0.969590307554114,1
48,48,48,49,red,green,0,153.86953839934796,g,154.704803450663,0.8352650513150479,1
49,49,49,50,red,blue,0,156.74959930953935,b,157.2854151231054,0.535815813566046,1
50,50,50,51,blue,red,0,159.61251665495112,r,160.2487726970346,0.6362560420834882,1
51,51,51,52,blue,red,0,163.14763237656211,r,163.26958532277817,0.1219529462160551,1
52,52,52,53,green,blue,0,165.63466938948514,b,166.32285852592062,0.6881891364354829,1
53,53,53,54,green,red,0,168.73831434925756,r,168.82978848621514,0.0914741369575722,1
54,54,54,55,green,green,1,171.29938442273547,g,173.05794104629624,1.7585566235607644,1
55,55,55,56,blue,blue,1,175.30482324817595,b,176.5315734530911,1.226750204915163,1
56,56,56,57,yellow,green,0,178.26680773633987,g,178.9022902413765,0.6354825050366344,1
57,57,57,58,blue,yellow,0,181.51323316794108,y,182.09503009767525,0.5817969297341676,1
58,58,58,59,yellow,blue,0,184.3901171957448,b,185.15691820610155,0.766801010356744,1
59,59,59,60,yellow,yellow,1,187.19306604930068,y,188.5802377244632,1.3871716751625058,1
60,60,60,61,blue,blue,1,190.4015022480596,b,191.53337482592917,1.1318725778695864,1
61,61,61,62,red,yellow,0,193.9025586315336,y,194.98670810008383,1.0841494685502369,1
62,62,62,63,blue,green,0,197.31586083671223,g,198.44629325481267,1.1304324181004404,1
63,63,63,64,blue,yellow,0,200.60998722411424,y,200.98850207234423,0.3785148482300258,1
64,64,64,65,yellow,yellow,1,203.3470147317627,y,204.0659672482701,0.7189525165074429,1
65,65,65,66,green,blue,0,206.38500429870464,b,208.026436269431,1.6414319707263587,1
66,66,66,67,red,blue,0,209.8997946602526,b,210.4605506509444,0.5607559906918027,1
67,67,67,68,green,green,1,212.5462897674188,g,213.263011220519,0.7167214531001775,1
68,68,68,69,blue,green,0,215.54092252935388,g,217.17819387817627,1.6372713488223951,1
69,69,69,70,blue,green,0,219.157696533884,g,219.50309769854755,0.3454011646635706,1
70,70,70,71,red,yellow,0,221.7290524367237,y,223.3358492334935,1.606796796769828,1
71,71,71,72,red,green,0,225.17136909778824,g,227.08844943055925,1.917080332771036,1
72,72,72,73,green,yellow,0,229.35130559849156,y,230.12174815508453,0.7704425565929967,1
73,73,73,74,green,yellow,0,231.6621239705993,y,233.0222759357013,1.3601519651019771,1
74,74,74,75,yellow,yellow,1,234.63180367499376,y,235.0646874551522,0.4328837801584484,1
75,75,75,76,blue,green,0,237.58764810542,g,238.23614940510447,0.6485012996844546,1
76,76,76,77,yellow,red,0,241.0011804563136,r,241.8397397938105,0.8385593374969176,1
77,77,77,78,green,blue,0,243.76286900543136,b,244.86698754515595,1.104118539724567,1
78,78,78,79,blue,red,0,246.44156931762387,r,247.76992925642983,1.32835993880596,1
79,79,79,80,green,green,1,249.3901381109051,g,250.9227105115872,1.532572400682085,1
80,80,80,81,green,green,1,253.27339268710853,g,253.2887802118098,0.015387524701282,1
